"title","link"
"Volodymyr Zelenskiy  Ukraine president makes surprise visit to newly recaptured city ","https://www.theguardian.com/world/2022/sep/14/volodymyr-zelenskiy-makes-surprise-visit-to-newly-recaptured-city-izium-ukraine"
"Volodymyr Zelenskiy  Ukraine president makes surprise visit to newly recaptured city ","https://www.theguardian.com/world/2022/sep/14/volodymyr-zelenskiy-makes-surprise-visit-to-newly-recaptured-city-izium-ukraine"
"‘People disappeared’  Izium’s residents on Russia’s occupation ","https://www.theguardian.com/world/2022/sep/14/people-disappeared-iziums-residents-on-russias-occupation"
"‘People disappeared’  Izium’s residents on Russia’s occupation ","https://www.theguardian.com/world/2022/sep/14/people-disappeared-iziums-residents-on-russias-occupation"
"Analysis  Former Soviet states eye opportunities as Russia suffers Ukraine rout ","https://www.theguardian.com/world/2022/sep/14/former-soviet-states-eye-opportunities-as-russia-suffers-ukraine-rout"
"Analysis  Former Soviet states eye opportunities as Russia suffers Ukraine rout ","https://www.theguardian.com/world/2022/sep/14/former-soviet-states-eye-opportunities-as-russia-suffers-ukraine-rout"
"Sweden  PM concedes election defeat to bloc including far-right Sweden Democrats ","https://www.theguardian.com/world/2022/sep/14/swedish-pm-concedes-election-defeat-to-bloc-led-by-far-right-sweden-democrats"
"R Kelly  Singer found guilty on child pornography and sex abuse charges ","https://www.theguardian.com/us-news/2022/sep/14/r-kelly-found-guilty-on-child-pornography-and-sex-abuse-charges"
"'An emotional experience'  Long journeys and winding queues as mourners pay last respects to the Queen ","https://www.theguardian.com/uk-news/2022/sep/14/queen-elizabeth-ii-westminster-hall-london"
"‘Our lives are destroyed’  Families take fight for truth of flight 752 to ICC ","https://www.theguardian.com/world/2022/sep/14/our-lives-are-destroyed-families-take-fight-for-truth-of-flight-752-to-icc"
"Melanie C   Singer alleges she was sexually assaulted before debut Spice Girls performance ","https://www.theguardian.com/music/2022/sep/14/melanie-c-alleges-sexually-assault-spice-girls-performance"
"Adnan Syed  Prosecutors move to vacate Serial subject’s murder conviction ","https://www.theguardian.com/us-news/2022/sep/14/prosecutors-baltimore-murder-conviction-serial-adnan-syed"
"Coronavirus  End of pandemic ‘in sight’, says World Health Organization ","https://www.theguardian.com/world/2022/sep/14/end-of-covid-pandemic-in-sight-says-world-health-organization"
"California  Amazon accused of stifling competition in new major lawsuit ","https://www.theguardian.com/technology/2022/sep/14/california-amazon-antitrust-lawsuit-higher-prices"
"Iran  US charges trio with orchestrating vast hacking and extortion scheme ","https://www.theguardian.com/us-news/2022/sep/14/us-hacking-iran-extortion-sheme-computer-systems"
"Germany  1,700-strong ‘rocker’ gang banned for violent crime links ","https://www.theguardian.com/world/2022/sep/14/germany-bans-1700-strong-rocker-gang-for-violent-links"
"Canada  Michelin hands out stars to 13 Toronto restaurants as city gets first guide ","https://www.theguardian.com/world/2022/sep/14/toronto-michelin-star-restaurants"
"‘It’s a win for us’  Serbia’s cancelled EuroPride exposes ongoing LGBTQ+ struggle ","https://www.theguardian.com/world/2022/sep/14/belgrade-serbia-cancelled-europride-exposes-ongoing-lgbtq-struggles"
"‘Godard shattered cinema’  Martin Scorsese, Mike Leigh, Abel Ferrara, Claire Denis and more pay tribute ","https://www.theguardian.com/film/2022/sep/14/godard-shattered-cinema-martin-scorsese-mike-leigh-abel-ferrara-luca-guadagnino-and-more-pay-tribute"
"Total lightweight  Australians quick to pick up new flat pack wine bottles ","https://www.theguardian.com/food/2022/sep/15/total-lightweight-australians-quick-to-pick-up-new-flat-pack-wine-bottles"
"The Wonder review  Florence Pugh is miraculously good in eerie drama ","https://www.theguardian.com/film/2022/sep/14/the-wonder-review-florence-pugh-is-miraculously-good-in-eerie-drama"
"Aukus  A year on, doubts grow about its future as China muscles up ","https://www.theguardian.com/world/2022/sep/15/a-year-on-from-aukus-doubts-grow-about-its-future-as-china-muscles-up"
"K-pop  Girl group Blackpink get ready to rule the music world ","https://www.theguardian.com/music/2022/sep/14/blackpink-k-pop-girl-group-born-pink-rule-music-world"
